entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_RSI_14,feature_VOL_20,feature_NORM_ATR,feature_volume_ratio,feature_darvas_high_normalized,feature_darvas_low_normalized,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_NORM_BB
2019-01-02,NSE:RAJESHEXPO-EQ,572.45,87,49803.15,,0,56.98924731182792,0.0025714212666802,0.0146238598505172,1.2547004767138612,1.3709494278976329,0.9468949253209886,-4.226200661373755e-06,-0.0843236091228839,0.8555065604309839
2019-01-02,NSE:ALKYLAMINE-EQ,313.54,143,44836.22,,0,66.68353149506703,0.0237672168142533,0.032554515714559,0.9176688104175134,1.0333609746762773,0.9032978248389361,0.017892561668805,0.0793434495147249,0.9374203010579072
2019-01-08,NSE:RAJESHEXPO-EQ,571.25,88,50270.0,,0,54.00843881856537,0.0034444707285414,0.0174804626445764,0.6700567759571312,1.0589934354485777,0.9838074398249453,0.0011637526834981,-0.0824908391455343,0.4895963236104714
2019-01-18,NSE:IGARASHI-EQ,527.7,98,51714.600000000006,,0,10.562015503876054,0.0078337289826517,0.0247299602046617,1.0161630536989503,1.3490619670267197,1.1028993746446845,-0.0215249900780665,-0.1266331645616866,0.0064514134094857
2019-01-22,NSE:MOIL-EQ,162.15,295,47834.25,,0,17.10526315789467,0.0074722146971305,0.0159684595392273,1.0601834266325445,1.1224175146469317,1.0240518038852915,-0.0139979624892925,-0.0628019623915689,-0.0176628781895943
2019-01-28,NSE:BANCOINDIA-EQ,85.93,544,46745.920000000006,,0,22.55319148936175,0.0101708648917599,0.0249788033449153,1.108219314533534,1.1579192365879203,1.0182706854416386,-0.0106955110631803,-0.0981531985181248,-0.0196101089372576
2019-01-30,NSE:MARICO-EQ,365.9,135,49396.5,,0,9.230769230769312,0.0090095924312468,0.0205754890094873,1.2622350125732793,1.0839027056572836,0.985651817436458,-0.0075918794323609,0.0581011771596186,0.0526611057279362
2019-02-04,NSE:TIIL-EQ,515.2,96,49459.200000000004,,0,22.09343168247277,0.0182052262236253,0.0455024401064774,0.9214228208835062,1.232531055900621,1.0724961180124222,-0.0411388435297581,0.0452622604946638,0.0726177593509166
2019-02-06,NSE:DISHTV-EQ,27.4,1661,45511.399999999994,,0,36.46209386281588,0.0975985105457386,0.1333420229405631,2.840181348639304,1.5547445255474455,0.697080291970803,-0.1281830219267553,-0.6374600550627412,0.3837539463566082
2019-02-13,NSE:OLECTRA-EQ,196.85,387,76180.95,,0,17.966903073286062,0.0243787684812149,0.0663485612685511,0.5211137128993711,1.315722631445263,1.0363220726441453,-0.0482626954018294,0.0857124225680006,0.1810494151456557
2019-02-18,NSE:OLECTRA-EQ,197.25,282,55624.5,,0,23.968393327480243,0.0269662675089138,0.0659786347999275,0.784905091048399,1.3130544993662865,1.0342205323193916,-0.0402805514021622,0.0752343739132373,0.252226079284255
2019-02-18,NSE:APOLLOHOSP-EQ,1116.85,44,49141.399999999994,,0,24.129634871214225,0.0290831901090959,0.0473077980800594,1.2576022572116687,1.242109504409724,0.9759591708823925,-0.0443797467567847,0.0635505249666822,0.0788984780080918
2019-03-11,NSE:DBREALTY-EQ,20.85,3882,80939.70000000001,,0,49.65986394557825,0.0309476658630084,0.0573826652963343,0.68263536278811,1.65947242206235,1.1558752997601918,-0.0343453548767425,-0.2934181066278061,0.331904518448058
2019-03-12,NSE:PGEL-EQ,7.69,5066,38957.54,,0,56.37982195845697,0.051974261155917,0.0689206762028608,0.8156217448286889,1.6827048114434329,1.1235370611183355,-0.0259733586283697,-0.707221355970559,0.5461126757328058
2019-03-20,NSE:OPTIEMUS-EQ,98.3,402,39516.6,,0,39.44223107569721,0.0255838456550834,0.0558421741026013,0.3204835695131175,1.2736520854526958,0.9720244150559512,-0.0323342513334426,-0.3187777809726374,0.2797004963611091
2019-03-26,NSE:OPTIEMUS-EQ,96.0,380,36480.0,,0,42.52873563218391,0.0279854582664653,0.0606398809523809,5.091384557408687,1.3041666666666667,0.9953124999999999,-0.0396202967636574,-0.3303674480048865,0.2405109373577929
2019-04-01,NSE:IMAGICAA-EQ,8.4,8667,72802.8,,0,42.85714285714287,0.0445590138352033,0.0701530612244898,0.4958487506241502,4.607142857142858,3.6904761904761902,-0.0403448064358448,-1.2837963532102608,0.194215446128246
2019-04-08,NSE:PGEL-EQ,7.59,12999,98662.41,,0,45.96100278551532,0.0399565448872942,0.0756634669678148,0.1728580055112064,1.704874835309618,1.1383399209486167,-0.011012945836189,-0.629387224196201,0.237381311960573
