date,action,symbol,shares,entry_price,exit_price,pnl,reason,holding_days,allocation_multiplier,adjusted_capital
2019-01-02,BUY,NSE:RAJESHEXPO-EQ,87,572.45,,,ENTRY,,1.0,50000.0
2019-01-02,BUY,NSE:ALKYLAMINE-EQ,143,313.54,,,ENTRY,,1.0,45132.342165
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,26,572.45,580.8214285714287,202.55578571428705,T1_EXIT,5.0,1.0,
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,18,572.45,589.1928571428572,290.76595714285696,T2_EXIT,5.0,1.0,
2019-01-08,SELL,NSE:RAJESHEXPO-EQ,43,572.45,580.8214285714287,334.9961071428594,STOPLOSS,6.0,1.0,
2019-01-08,BUY,NSE:RAJESHEXPO-EQ,88,571.25,,,ENTRY,,1.0,50307.71263200001
2019-01-15,SELL,NSE:RAJESHEXPO-EQ,26,571.25,581.2357142857143,244.51644285714235,T1_EXIT,7.0,1.0,
2019-01-16,SELL,NSE:RAJESHEXPO-EQ,19,571.25,591.2214285714285,368.22393571428495,T2_EXIT,8.0,1.0,
2019-01-17,T3_TRAIL,NSE:RAJESHEXPO-EQ,0,571.25,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-17,TRAIL_SL,NSE:RAJESHEXPO-EQ,0,571.25,,,TRAIL_T4,9.0,1.0,
2019-01-18,SELL,NSE:RAJESHEXPO-EQ,43,571.25,601.2071428571428,1262.3052357142833,STOPLOSS,10.0,1.0,
2019-01-18,BUY,NSE:IGARASHI-EQ,98,527.7,,,ENTRY,,1.0,51950.01068485715
2019-01-21,SELL,NSE:ALKYLAMINE-EQ,43,313.54,323.7471428571429,424.98601571428566,T1_EXIT,19.0,1.0,
2019-01-21,SELL,NSE:ALKYLAMINE-EQ,30,313.54,333.95428571428573,602.4099428571427,T2_EXIT,19.0,1.0,
2019-01-21,T3_TRAIL,NSE:ALKYLAMINE-EQ,0,313.54,,,T3_MILESTONE_TRAIL,19.0,1.0,
2019-01-22,SELL,NSE:ALKYLAMINE-EQ,70,313.54,333.95428571428573,1405.6231999999998,STOPLOSS,20.0,1.0,
2019-01-22,BUY,NSE:MOIL-EQ,295,162.15,,,ENTRY,,1.0,47902.642787571436
2019-01-28,SELL,NSE:MOIL-EQ,295,162.15,158.26607142857145,-1192.4474196428525,STOPLOSS,6.0,1.0,
2019-01-28,BUY,NSE:BANCOINDIA-EQ,544,85.93,,,ENTRY,,1.0,46786.38928489287
2019-01-30,SELL,NSE:IGARASHI-EQ,98,527.7,508.12500000000006,-1968.146249999999,STOPLOSS,12.0,1.0,
2019-01-30,BUY,NSE:MARICO-EQ,135,365.9,,,ENTRY,,1.0,49444.798331892875
2019-02-01,SELL,NSE:MARICO-EQ,40,365.9,373.4285714285714,286.20571428571355,T1_EXIT,2.0,1.0,
2019-02-04,SELL,NSE:MARICO-EQ,95,365.9,365.9,-34.7605,STOPLOSS,5.0,1.0,
2019-02-04,BUY,NSE:TIIL-EQ,96,515.2,,,ENTRY,,1.0,49626.64217475002
2019-02-06,SELL,NSE:BANCOINDIA-EQ,544,85.93,82.71035714285715,-1796.4801485714293,STOPLOSS,9.0,1.0,
2019-02-06,BUY,NSE:DISHTV-EQ,1661,27.4,,,ENTRY,,1.0,45523.34476103574
2019-02-07,SELL,NSE:TIIL-EQ,29,515.2,538.6428571428572,664.2222142857153,T1_EXIT,3.0,1.0,
2019-02-08,SELL,NSE:DISHTV-EQ,498,27.4,31.053571428571427,1804.0138928571428,T1_EXIT,2.0,1.0,
2019-02-12,SELL,NSE:DISHTV-EQ,349,27.4,34.707142857142856,2538.0800642857143,T2_EXIT,6.0,1.0,
2019-02-13,SELL,NSE:TIIL-EQ,20,515.2,562.0857142857144,926.4725714285729,T2_EXIT,9.0,1.0,
2019-02-13,SELL,NSE:DISHTV-EQ,814,27.4,31.053571428571427,2948.7295357142857,STOPLOSS,7.0,1.0,
2019-02-13,BUY,NSE:OLECTRA-EQ,387,196.85,,,ENTRY,,1.0,76196.07095175004
2019-02-15,SELL,NSE:OLECTRA-EQ,116,196.85,209.91071428571428,1490.693214285714,T1_EXIT,2.0,1.0,
2019-02-18,SELL,NSE:TIIL-EQ,47,515.2,538.6428571428572,1076.4980714285732,STOPLOSS,14.0,1.0,
2019-02-18,SELL,NSE:OLECTRA-EQ,271,196.85,196.85,-53.34635,STOPLOSS,5.0,1.0,
